"tweet_id","created_at","retrieved_at","user_id","username","text","retweeted_tweet_id","retweeted_user_id","retweeted_user_name","in_reply_to_tweet_id","in_reply_to_user_id","in_reply_to_user_name","quoted_tweet_id","quoted_user_id","quoted_user_name"
1317123226535776257,"2020-10-16 15:20:22.000 +0000","2020-10-17 02:01:46.000 +0000",162876955,JoelRichtersALP,RT @GhostWhoVotes: #Newspoll QLD State 2 Party Preferred: ALP 52 (+3 since July) LNP 48 (-3) #qldvotes #auspol,1317038311504924672,56077211,GhostWhoVotes,,,,,,
1317123482837086208,"2020-10-16 15:21:23.000 +0000","2020-10-17 02:01:46.000 +0000",162876955,JoelRichtersALP,"RT @camerondickqld: And @DebFrecklington &amp; @TimManderMP  your ideologically-driven obsession with a surplus will lead to significant economic problems - 30,000 Queenslanders sacked, sky-high unemployment, health services cut, regional communities punished &amp; a longer and deeper recession.",1317006327500001281,236818401,camerondickqld,,,,,,
1317123564248551425,"2020-10-16 15:21:43.000 +0000","2020-10-17 02:01:46.000 +0000",162876955,JoelRichtersALP,"RT @QLDLabor: Different election, same rubbish.

There is no death tax.

Deb Frecklington needs to show some leadership and call this fake news out for what it is - a lie.

#qldvotes #qldpol

https://t.co/DjrkugdTt6",1316997215064268801,147861172,QLDLabor,,,,,,
1317123704678019072,"2020-10-16 15:22:16.000 +0000","2020-10-17 02:01:46.000 +0000",162876955,JoelRichtersALP,"RT @gracextwo: Access to sanitary products is a right, not a privilege.

We want all Qld school students to have equal access to sanitary products.
If re-elected, the Palaszczuk Govt will partner with Share The Dignity to give students across 120 schools free access to pads and tampons. 

1/2 https://t.co/Ui065nzWhH",1316975344293871616,263418376,gracextwo,,,,,,
1317124150243151874,"2020-10-16 15:24:03.000 +0000","2020-10-17 02:01:46.000 +0000",162876955,JoelRichtersALP,RT @MarkBaileyMP: Clive Palmer charged with fraud and corporate misconduct offences https://t.co/gCqGpctcPu,1316888481939877890,984808496,MarkBaileyMP,,,,,,
1317124282762211328,"2020-10-16 15:24:34.000 +0000","2020-10-17 02:01:46.000 +0000",162876955,JoelRichtersALP,RT @MarkBaileyMP: Report finds public sector job and spending cuts are the LNP’s only option to balance budget in four years as Queensland election looms - ABC News https://t.co/hRpssTBA79,1316885148890087424,984808496,MarkBaileyMP,,,,,,
1317125117713948672,"2020-10-16 15:27:53.000 +0000","2020-10-17 02:01:46.000 +0000",162876955,JoelRichtersALP,"RT @QLDLabor: In September, Queensland created 32,200 jobs while the rest of Australia lost 23,000.

This is Annastacia Palaszczuk's economic recovery plan starting to work – and we can't afford to stop now.

#qldvotes #qldpol https://t.co/EIjH22vx0R",1316654309887492097,147861172,QLDLabor,,,,,,
1317174694949220352,"2020-10-16 18:44:53.000 +0000","2020-10-16 23:21:36.000 +0000",1661487846,EtheridgeSue,"RT @GretaThunberg: The movie I Am Greta will premiere today in cinemas across the United Kingdom, Germany, Austria, Switzerland, Belgium, Luxembourg, The Netherlands, Canada, Australia and New Zealand. https://t.co/zam1lwtFJI",1317173824840962048,1006419421244678144,GretaThunberg,,,,,,
1317175350929944577,"2020-10-16 18:47:30.000 +0000","2020-10-16 23:21:36.000 +0000",1661487846,EtheridgeSue,"RT @NaomiOreskes: I would really like to be able to stop writing about this, but ExxonMobil keeps giving us more reasons to have to comment. Having misrepresented climate science, now they misrepresent my science.
https://t.co/sBs5OAsTL4",1317118915449937921,2497242884,NaomiOreskes,,,,,,
1317182191055433728,"2020-10-16 19:14:41.000 +0000","2020-10-16 23:21:36.000 +0000",1661487846,EtheridgeSue,Why Queensland’s opposition leader wants party's anti-abortion push kept out of election sight https://t.co/gqhZCFEOTl,,,,,,,,,
1317187271158845443,"2020-10-16 19:34:52.000 +0000","2020-10-16 23:21:36.000 +0000",1661487846,EtheridgeSue,"Let’s look after the millions, not the millionaires. 
Check out The Greens’ plan to put money back into the pockets of everyday Queenslanders: https://t.co/eJI1ZLp28U https://t.co/5JfBDuE0KK",,,,,,,,,
1317193344569651200,"2020-10-16 19:59:00.000 +0000","2020-10-17 16:52:44.000 +0000",256833444,AnnastaciaMP,"Queenslanders have done such a great job of fighting this virus that we’ve been able to ease restrictions on dancing at weddings and formals, as well as allow aged care residents to get out and about again. 

As always - stay safe Queensland. https://t.co/6wWp5CLc38",,,,,,,,,
1317199413832343552,"2020-10-16 20:23:07.000 +0000","2020-10-17 05:31:59.000 +0000",105018627,MichaelCrandon,RT @JPLangbroek: We are in danger of sliding back to the 2011/12 era when @QLDLabor Ministers denied our Gold Coast had bikie problem/crime problem. Since March ⬆️⬆️⬆️car theft &amp; ⬆️⬆️home break-ins in our suburbs and minimal traffic policing so ⬆️ ⬆️ hooning #frustratedlocals  @QldPolice #qldpol https://t.co/pB19BDRwS4,1316544359282569216,28298107,JPLangbroek,,,,,,
1317202316710219776,"2020-10-16 20:34:39.000 +0000","2020-10-17 04:21:55.000 +0000",984808496,MarkBaileyMP,"RT @AnnastaciaMP: Queenslanders have done such a great job of fighting this virus that we’ve been able to ease restrictions on dancing at weddings and formals, as well as allow aged care residents to get out and about again. 

As always - stay safe Queensland. https://t.co/6wWp5CLc38",1317193344569651200,256833444,AnnastaciaMP,,,,,,
1317202589797076993,"2020-10-16 20:35:44.000 +0000","2020-10-17 04:21:55.000 +0000",984808496,MarkBaileyMP,RT @9NewsQueensland: Stage five restrictions have been brought forward by two weeks in Queensland. #9News https://t.co/DiFUnOymry,1317198239519674370,36255721,"9NewsQueensland",,,,,,
1317212803942346753,"2020-10-16 21:16:19.000 +0000","2020-10-17 14:42:35.000 +0000",263051215,peterkmurphy,"@barriecassidy Lots of people do for many reasons, as is being explained to you, Barrie. For example, I went by a pseudonym online when I was living in Việt Nam; the government is known to jail folk who talk about politics.",,,,1317067452866387969,1240407498,barriecassidy,,,
1317214731623567361,"2020-10-16 21:23:59.000 +0000","2020-10-17 12:02:25.000 +0000",47909433,donbrownmp,@DebFrecklington can’t keep her promise of preferences. https://t.co/AiVA3Iy4Q7,,,,,632577753,DebFrecklington,1317212408935374848,31674922,scottemerson
1317215395909046272,"2020-10-16 21:26:37.000 +0000","2020-10-17 13:42:32.000 +0000",537773395,markdenhamnoosa,"RT @AnnastaciaMP: BREAKING: If re-elected, we'll partner with @sharingdignity to provide vending machines with free tampons and pads at 120 schools across the state. All schools in Queensland can register for the program, with schools most in need given priority. #sharethedignity https://t.co/AV55tkEDwQ",1316973366721441792,256833444,AnnastaciaMP,,,,,,
1317217332167520256,"2020-10-16 21:34:19.000 +0000","2020-10-17 12:02:25.000 +0000",47909433,donbrownmp,@MartySilkHack Actually criticising a broken commitment.,,,,1317216700740165632,2881494871,MartySilkHack,,,
1317224352471867392,"2020-10-16 22:02:13.000 +0000","2020-10-17 14:32:35.000 +0000",86282952,palanithevar,"""She saw a young woman.... whisper to a male employee, she needed free period products...
The man replied loudly in a crowded room, 'Well did you want pads or tampons?' 'Pads' she whispered. 
'Alright, a packet of pads coming up!' He loudly replied.""
Founder of #sharethedignity",,,,,,,,,
1317225808381972480,"2020-10-16 22:08:00.000 +0000","2020-10-17 16:52:44.000 +0000",256833444,AnnastaciaMP,"Queensland is on the road to recovery.

We can’t risk a detour. https://t.co/ojVX330UqR",,,,,,,,,
1317227650906116096,"2020-10-16 22:15:19.000 +0000","2020-10-17 04:41:56.000 +0000",832359338979184640,MarkFurnerMP,"RT @AnnastaciaMP: Queensland is on the road to recovery.

We can’t risk a detour. https://t.co/ojVX330UqR",1317225808381972480,256833444,AnnastaciaMP,,,,,,
1317236745566515201,"2020-10-16 22:51:27.000 +0000","2020-10-16 23:21:36.000 +0000",1661487846,EtheridgeSue,"RT @AdamBandt: I was going to make a joke about neoliberalism, but it wouldn’t trickle down.",1317222824461791233,25960714,AdamBandt,,,,,,
1317237426918543360,"2020-10-16 22:54:10.000 +0000","2020-10-17 04:21:55.000 +0000",984808496,MarkBaileyMP,"Great to join @jackietrad @ShannonFentiman &amp; @Labor4Choice on 2nd anniversary of decriminalisation of abortion so Qld women can choose. Massive reform driven by @jackietrad 😊👍✊ 

What an honour to work with such formidable &amp; effective women in our @QLDLabor team https://t.co/piNC1ufIcA",,,,,,,,,
1317237603255472128,"2020-10-16 22:54:52.000 +0000","2020-10-16 23:21:36.000 +0000",1661487846,EtheridgeSue,"RT @JulianBurnside: A letter to the PM from a refugee in detention: years on Manus, then brought here and now in detention

https://t.co/VsFPArPfIR",1317235381746634753,206979151,JulianBurnside,,,,,,
1317238599226568704,"2020-10-16 22:58:49.000 +0000","2020-10-17 17:52:48.000 +0000",1299484870771523586,BrunkerMichael,"👩🏼‍🌾👨🏼‍🌾🧑🏾‍🌾👩🏿‍🌾 

#brunker4burdekin #labor #queensland #burdekin https://t.co/FoYaQRT6Xz",,,,,,,,,
1317243901707653122,"2020-10-16 23:19:54.000 +0000","2020-10-17 12:02:25.000 +0000",47909433,donbrownmp,RT @redlandbulletin: Full time fire station for Mount Cotton https://t.co/Pj0bZEQB7m,1317239745500614662,78880675,redlandbulletin,,,,,,
1317250601864982528,"2020-10-16 23:46:31.000 +0000","2020-10-17 16:52:44.000 +0000",256833444,AnnastaciaMP,"Saturday, 17 October – coronavirus cases in Queensland:

• 0 new confirmed cases
• 4 active cases
• 1,164 total confirmed cases
• 1,184,163 tests conducted

Sadly, six Queenslanders with COVID-19 have died. 1,154 patients have recovered.

#covid19 https://t.co/GBjsmMXoQy",,,,,,,,,
1317253993903591426,"2020-10-17 00:00:00.000 +0000","2020-10-17 01:11:43.000 +0000",2697320623,JenMP4Ipswich,"Ipswich BMX Club are set to receive $500k from the Palaszczuk Labor Government to build a new clubhouse and canteen!

This investment will provide them with the facilities they need to host major competitions, which will bring visitors to Ipswich and will boost our local economy. https://t.co/dlxjic4PRi",,,,,,,,,
1317256636247941121,"2020-10-17 00:10:30.000 +0000","2020-10-17 14:02:33.000 +0000",4171736714,mcberkman,"RT @Sinead_Canning: Today's the 2nd anniversary of abortion law reform in Queensland! It is a momentous occasion, made moreso by the fact that similar legislation was introduced in both WA and SA this week. We are firmly part of a legislative trend that grants fundamental rights to bodily autonomy.",1317240653005254656,561816447,Sinead_Canning,,,,,,
1317256646721036288,"2020-10-17 00:10:32.000 +0000","2020-10-17 14:02:33.000 +0000",4171736714,mcberkman,"RT @Sinead_Canning: This could be under threat as we get close to the state election in Queensland, though. Shadow Ministers are giving 'ironclad guarantees' to right-wing groups of men that they'll repeal what they term as 'draconian and heinous legislation'. https://t.co/BhEhjVKYtm",1317240655257587712,561816447,Sinead_Canning,,,,,,
1317256696863940608,"2020-10-17 00:10:44.000 +0000","2020-10-17 14:02:33.000 +0000",4171736714,mcberkman,"RT @Sinead_Canning: Your vote matters, your right to choose matters. Make sure you know how your preferred candidate would vote should an MP in the next parliament bring a bill forward that would repeal protections for abortion care.",1317240657858080769,561816447,Sinead_Canning,,,,,,
